NODE_1_length_5548_cov_11.606470	CP014533.1	99.84	5555	2	7	1	5548	10924	5370	0.0	10202
NODE_1_length_5548_cov_11.606470	CP014533.1	100.00	1292	0	0	4257	5548	17254	15963	0.0	2386
NODE_1_length_5548_cov_11.606470	CP014533.1	99.48	193	0	1	1	192	193	1	4e-98	350
NODE_2_length_3734_cov_13.945916	CP014533.1	99.76	3742	1	7	1	3734	296	4037	0.0	6854
NODE_2_length_3734_cov_13.945916	CP014533.1	94.89	3741	14	82	1	3734	11059	14629	0.0	5686
NODE_2_length_3734_cov_13.945916	CP014533.1	88.10	84	6	4	699	780	940	1021	4e-22	97.1
NODE_2_length_3734_cov_13.945916	CP014533.1	88.10	84	6	4	645	726	994	1075	4e-22	97.1
NODE_2_length_3734_cov_13.945916	CP014533.1	88.10	84	6	4	645	726	11695	11776	4e-22	97.1
NODE_3_length_1412_cov_18.845808	CP014533.1	99.86	1413	1	1	1	1412	15965	14553	0.0	2597
NODE_3_length_1412_cov_18.845808	CP014533.1	99.79	1413	0	3	1	1412	5371	3961	0.0	2590
NODE_4_length_1231_cov_11.112652	CP014533.1	100.00	1231	0	0	1	1231	11402	12632	0.0	2274
NODE_4_length_1231_cov_11.112652	CP014533.1	87.47	1389	13	70	1	1231	639	2024	0.0	1452
NODE_4_length_1231_cov_11.112652	CP014533.1	88.10	84	6	4	294	375	940	1021	1e-22	97.1
NODE_5_length_288_cov_8.881517	CP014533.1	100.00	288	0	0	1	288	11135	10848	2e-154	532
NODE_5_length_288_cov_8.881517	CP014533.1	98.43	191	1	2	99	288	306	117	5e-95	335
NODE_5_length_288_cov_8.881517	CP014533.1	100.00	77	0	0	1	77	372	296	3e-37	143
NODE_6_length_256_cov_8.770950	CP014533.1	100.00	256	0	0	1	256	372	117	9e-137	473
NODE_6_length_256_cov_8.770950	CP014533.1	98.43	191	1	2	67	256	11037	10848	5e-95	335
NODE_6_length_256_cov_8.770950	CP014533.1	100.00	77	0	0	1	77	11135	11059	3e-37	143
NODE_7_length_226_cov_9.536913	CP014533.1	100.00	226	0	0	1	226	13031	12806	4e-120	418
NODE_7_length_226_cov_9.536913	CP014533.1	99.12	226	0	2	1	226	2428	2205	3e-116	405
NODE_8_length_181_cov_8.057692	CP014533.1	100.00	181	0	0	1	181	4994	5174	3e-95	335
NODE_8_length_181_cov_8.057692	CP014533.1	98.91	183	0	2	1	181	15586	15768	2e-92	326
NODE_9_length_179_cov_7.676471	CP014533.1	100.00	179	0	0	1	179	14309	14487	4e-94	331
NODE_9_length_179_cov_7.676471	CP014533.1	98.34	181	0	3	1	179	3714	3893	4e-89	315
NODE_10_length_173_cov_11.125000	CP014533.1	100.00	173	0	0	1	173	12574	12746	9e-91	320
NODE_10_length_173_cov_11.125000	CP014533.1	97.73	176	1	2	1	173	1966	2141	1e-84	300
NODE_11_length_167_cov_15.355556	CP014533.1	100.00	167	0	0	1	167	13027	13193	2e-87	309
NODE_11_length_167_cov_15.355556	CP014533.1	95.95	173	1	2	1	167	2424	2596	2e-77	276
NODE_12_length_164_cov_16.919540	CP014533.1	100.00	164	0	0	1	164	14466	14629	8e-86	303
NODE_12_length_164_cov_16.919540	CP014533.1	98.80	166	0	2	1	164	3872	4037	5e-83	294
NODE_13_length_157_cov_10.375000	CP014533.1	100.00	157	0	0	1	157	4900	4744	6e-82	291
NODE_13_length_157_cov_10.375000	CP014533.1	98.73	157	1	1	1	157	15491	15336	5e-78	278
NODE_14_length_154_cov_11.896104	CP014533.1	100.00	154	0	0	1	154	13325	13172	3e-80	285
NODE_14_length_154_cov_11.896104	CP014533.1	99.35	155	0	1	1	154	2729	2575	1e-78	279
NODE_15_length_153_cov_11.368421	CP014533.1	100.00	153	0	0	1	153	13933	13781	1e-79	283
NODE_15_length_153_cov_11.368421	CP014533.1	99.35	154	0	1	1	153	3337	3184	5e-78	278
NODE_16_length_152_cov_12.106667	CP014533.1	100.00	152	0	0	1	152	5446	5295	3e-79	281
NODE_16_length_152_cov_12.106667	CP014533.1	99.34	152	0	1	1	152	16039	15889	6e-77	274
NODE_17_length_151_cov_6.756757	CP014533.1	100.00	151	0	0	1	151	15889	16039	1e-78	279
NODE_17_length_151_cov_6.756757	CP014533.1	99.34	152	0	1	1	151	5295	5446	6e-77	274
NODE_18_length_150_cov_7.972603	CP014533.1	100.00	150	0	0	1	150	14066	13917	4e-78	278
NODE_18_length_150_cov_7.972603	CP014533.1	99.34	151	0	1	1	150	3471	3321	2e-76	272
NODE_19_length_150_cov_7.890411	CP014533.1	100.00	150	0	0	1	150	13736	13587	4e-78	278
NODE_19_length_150_cov_7.890411	CP014533.1	99.33	150	0	1	1	150	3139	2991	7e-76	270
NODE_20_length_149_cov_8.138889	CP014533.1	100.00	149	0	0	1	149	5020	4872	2e-77	276
NODE_20_length_149_cov_8.138889	CP014533.1	99.33	150	0	1	1	149	15612	15463	7e-76	270
